HOUSE NUMBER,STREET,ZIPCODE,PROPERTY CLASS CODE DESCRIPTION,FRONT,DEPTH,HOUSE NUMBER STREET ZIPCODE
499,PLYMOUTH,14213,TWO FAMILY DWELLING,41.00,77.00,499 PLYMOUTH 14213
400,PLYMOUTH,14213,RESIDENTIAL VACANT LAND,35.00,50.00,400 PLYMOUTH 14213
288,FIFTEENTH,14213,ONE FAMILY DWELLING,42.00,30.00,288 FIFTEENTH 14213
538,PLYMOUTH,14213,TWO FAMILY DWELLING,29.50,100.00,538 PLYMOUTH 14213
357,FOURTEENTH,14213,TWO FAMILY DWELLING,30.00,116.00,357 FOURTEENTH 14213
723,PROSPECT,14213,"INNS,LODGES,BOARDING AND ROOMING HOUSES",30.00,165.00,723 PROSPECT 14213
877,PROSPECT,14213,THREE FAMILY DWELLING,25.00,100.00,877 PROSPECT 14213
469,FOURTEENTH,14213,RESIDENTIAL VACANT LAND,30.00,113.00,469 FOURTEENTH 14213
714,PROSPECT,14213,TWO FAMILY DWELLING,29.50,132.00,714 PROSPECT 14213
728,PROSPECT,14213,TWO FAMILY DWELLING,30.00,120.00,728 PROSPECT 14213
776,PROSPECT,14213,TWO FAMILY DWELLING,25.00,132.00,776 PROSPECT 14213
854,PROSPECT,14213,MULTIPLE RESIDENCES,40.60,132.00,854 PROSPECT 14213
250,RHODE ISLAND,14213,TWO FAMILY DWELLING,25.00,110.00,250 RHODE ISLAND 14213
584,WEST,14213,RESIDENTIAL VACANT LAND,30.00,149.00,584 WEST 14213
23,TENTH,14201,ONE FAMILY DWELLING,27.50,100.00,23 TENTH 14201
354,RHODE ISLAND,14213,ONE FAMILY DWELLING,29.00,90.00,354 RHODE ISLAND 14213
363,RHODE ISLAND,14213,TWO FAMILY DWELLING,25.00,150.00,363 RHODE ISLAND 14213
365,RHODE ISLAND,14213,TWO FAMILY DWELLING,25.00,150.00,365 RHODE ISLAND 14213
192,FIFTEENTH,14213,RESIDENTIAL VACANT LAND,25.00,148.00,192 FIFTEENTH 14213
247,VIRGINIA ST,14201,BARS,30.00,113.50,247 VIRGINIA ST 14201
54,SCHOOL,14213,TWO FAMILY DWELLING,25.00,100.00,54 SCHOOL 14213
261,HAMPSHIRE,14213,TWO FAMILY DWELLING,31.00,110.00,261 HAMPSHIRE 14213
74,SCHOOL,14213,RESIDENTIAL VACANT LAND,25.00,114.00,74 SCHOOL 14213
133,SCHOOL,14213,RESIDENTIAL VACANT LAND,30.00,100.00,133 SCHOOL 14213
245,FOURTEENTH,14213,TWO FAMILY DWELLING,25.00,148.50,245 FOURTEENTH 14213
141,SCHOOL,14213,RESIDENTIAL VACANT LAND,30.00,100.00,141 SCHOOL 14213
897,COLUMBUS PKWY,14213,TWO FAMILY DWELLING,26.50,132.00,897 COLUMBUS PKWY 14213
620,COLUMBUS PKWY,14213,THREE FAMILY DWELLING,72.50,132.00,620 COLUMBUS PKWY 14213
54,LAWRENCE,14213,RESIDENTIAL VACANT LAND,30.00,120.00,54 LAWRENCE 14213
44,MASSACHUSETTS,14213,RESIDENTIAL VACANT LAND,37.00,56.00,44 MASSACHUSETTS 14213
109,SEVENTEENTH,14213,TWO FAMILY DWELLING,25.75,137.00,109 SEVENTEENTH 14213
102,SEVENTEENTH,14213,TWO FAMILY DWELLING,28.00,140.00,102 SEVENTEENTH 14213
29,SHERWOOD,14213,MULTIPLE RESIDENCES,25.00,128.00,29 SHERWOOD 14213
38,SHERWOOD,14213,ONE FAMILY DWELLING,33.00,75.00,38 SHERWOOD 14213
13,SHIELDS,14213,ONE FAMILY DWELLING,27.75,157.00,13 SHIELDS 14213
167,SIXTEENTH,14213,MULTIPLE RESIDENCES,28.00,160.00,167 SIXTEENTH 14213
483,UTICA WEST,14213,RESIDENTIAL VACANT LAND,50.00,126.00,483 UTICA WEST 14213
160,HAMPSHIRE,14213,DOWNTOWN ROW TYPE (DETACHED),28.00,95.00,160 HAMPSHIRE 14213
273,CHERRY,14204,ONE FAMILY DWELLING,50.00,125.00,273 CHERRY 14204
113,MASSACHUSETTS,14213,ONE FAMILY DWELLING,30.00,131.00,113 MASSACHUSETTS 14213
507,UTICA WEST,14213,ONE FAMILY DWELLING,21.00,0.00,507 UTICA WEST 14213
589,UTICA WEST,14213,TWO FAMILY DWELLING,36.33,0.00,589 UTICA WEST 14213
174,HAMPSHIRE,14213,RESIDENTIAL VACANT LAND,25.00,100.00,174 HAMPSHIRE 14213
613,UTICA WEST,14213,RESIDENTIAL VACANT LAND,19.00,54.00,613 UTICA WEST 14213
574,UTICA WEST,14213,APARTMENT,50.00,134.00,574 UTICA WEST 14213
590,UTICA WEST,14213,TWO FAMILY DWELLING,33.33,176.00,590 UTICA WEST 14213
204,VERMONT,14213,ONE FAMILY DWELLING,24.25,116.00,204 VERMONT 14213
333,GENESEE,14204,DOWNTOWN ROW TYPE (W/COMMON WALL),25.00,110.00,333 GENESEE 14204
240,VERMONT,14213,ONE FAMILY DWELLING,24.96,116.00,240 VERMONT 14213
276,VERMONT,14213,TWO FAMILY DWELLING,40.00,125.00,276 VERMONT 14213
404,VERMONT,14213,TWO FAMILY DWELLING,35.00,163.00,404 VERMONT 14213
464,VERMONT,14213,TWO FAMILY DWELLING,25.00,135.00,464 VERMONT 14213
115,VERMONT,14213,RESIDENTIAL VACANT LAND,33.00,51.50,115 VERMONT 14213
129,VERMONT,14213,ONE FAMILY DWELLING,27.50,116.50,129 VERMONT 14213
207,VERMONT,14213,ONE FAMILY DWELLING,23.00,99.00,207 VERMONT 14213
694,JEFFERSON,14204,DOWNTOWN ROW TYPE (DETACHED),25.00,100.00,694 JEFFERSON 14204
257,VERMONT,14213,MULTIPLE RESIDENCES,40.00,100.00,257 VERMONT 14213
339,VERMONT,14213,TWO FAMILY DWELLING,27.00,116.00,339 VERMONT 14213
375,VERMONT,14213,THREE FAMILY DWELLING,28.00,116.00,375 VERMONT 14213
385,VERMONT,14213,ONE FAMILY DWELLING,27.00,116.00,385 VERMONT 14213
445,VERMONT,14213,TWO FAMILY DWELLING,30.10,122.00,445 VERMONT 14213
455,VERMONT,14213,COM VAC W/IMP,25.00,141.00,455 VERMONT 14213
501,WEST,14213,TWO FAMILY DWELLING,35.00,149.00,501 WEST 14213
117,MULBERRY,14204,MULTIPLE RESIDENCES,55.75,100.00,117 MULBERRY 14204
563,WEST,14213,ONE FAMILY DWELLING,25.00,148.00,563 WEST 14213
573,WEST,14213,TWO FAMILY DWELLING,39.51,148.50,573 WEST 14213
721,WEST,14213,MULTIPLE RESIDENCES,27.00,149.00,721 WEST 14213
723,WEST,14213,RESIDENTIAL VACANT LAND,28.00,149.00,723 WEST 14213
817,WEST,14213,TWO FAMILY DWELLING,53.44,98.00,817 WEST 14213
883,WEST,14213,THREE FAMILY DWELLING,32.00,110.00,883 WEST 14213
897,WEST,14213,THREE FAMILY DWELLING,27.50,100.00,897 WEST 14213
560,SPRING,14204,TWO FAMILY DWELLING,75.00,132.00,560 SPRING 14204
394,MASSACHUSETTS,14213,ONE FAMILY DWELLING,30.30,105.00,394 MASSACHUSETTS 14213
393,HAMPSHIRE,14213,TWO FAMILY DWELLING,30.00,90.00,393 HAMPSHIRE 14213
